,to_step,Percentage,avg_time_spent,Variation
0,step_1,98.13090654532726,0 days 00:00:31.081051905,Test
1,step_2,85.23626181309065,0 days 00:00:41.677151055,Test
2,step_3,76.62233111655583,0 days 00:01:28.609721820,Test
3,confirm,63.98319915995799,0 days 00:01:50.920850367,Test
0,error,9.699726706772957,0 days 00:03:16.825276802,Test
0,step_1,97.98680284117177,0 days 00:00:37.643309134,Control
1,step_2,84.19703274072207,0 days 00:00:36.139977603,Control
2,step_3,75.90467784642541,0 days 00:01:30.402031793,Control
3,confirm,63.9053503131173,0 days 00:02:14.906850213,Control
0,error,7.903245120344869,0 days 00:02:54.153305785,Control
